user_session,product_id,group_type_formal,first_cart_time_formal,group_type_legacy,first_cart_time_legacy,_merge
,5845263,,,B,2019-12-04 20:55:06+00:00,right_only
,5846444,,,B,2019-12-15 10:47:48+00:00,right_only
,5846445,,,B,2019-12-09 03:53:41+00:00,right_only
,5846455,,,B,2019-12-19 15:55:22+00:00,right_only
,5846810,,,B,2019-12-11 19:10:58+00:00,right_only
,5848105,,,B,2019-12-24 10:40:10+00:00,right_only
,5848106,,,B,2019-12-24 10:40:04+00:00,right_only
,5848309,,,B,2019-12-20 14:52:32+00:00,right_only
,5848920,,,B,2019-12-08 15:55:26+00:00,right_only
,5848924,,,B,2019-12-08 15:55:12+00:00,right_only
,5848925,,,B,2019-12-10 19:16:48+00:00,right_only
,5849914,,,B,2019-12-15 14:32:08+00:00,right_only
,5851033,,,B,2019-12-01 15:49:37+00:00,right_only
,5851892,,,B,2019-12-24 18:31:14+00:00,right_only
,5853038,,,B,2019-12-07 17:00:55+00:00,right_only
,5853246,,,B,2019-12-19 16:22:40+00:00,right_only
,5853711,,,B,2019-12-19 16:22:31+00:00,right_only
,5853713,,,B,2019-12-19 16:22:24+00:00,right_only
,5854370,,,B,2019-12-26 19:40:35+00:00,right_only
,5854372,,,B,2019-12-04 20:54:02+00:00,right_only
,5854384,,,B,2019-12-16 15:33:08+00:00,right_only
,5854897,,,B,2019-12-18 18:30:43+00:00,right_only
,5854899,,,B,2019-12-12 02:59:55+00:00,right_only
,5854900,,,B,2019-12-04 20:35:47+00:00,right_only
,5855120,,,B,2019-12-22 08:19:11+00:00,right_only
,5856192,,,B,2019-12-04 07:07:54+00:00,right_only
,5856834,,,B,2019-12-02 21:07:12+00:00,right_only
,5856998,,,B,2019-12-22 11:46:16+00:00,right_only
,5857000,,,B,2019-12-22 11:46:08+00:00,right_only
,5857001,,,B,2019-12-22 11:46:10+00:00,right_only
,5857007,,,B,2019-12-26 20:20:39+00:00,right_only
,5857043,,,B,2019-12-19 16:21:19+00:00,right_only
,5857269,,,B,2019-12-19 16:21:27+00:00,right_only
,5857308,,,B,2019-12-10 17:12:15+00:00,right_only
,5858017,,,B,2019-12-12 11:58:43+00:00,right_only
,5858619,,,B,2019-12-22 18:34:41+00:00,right_only
,5858914,,,B,2019-12-20 14:52:34+00:00,right_only
,5861554,,,B,2019-12-19 19:28:35+00:00,right_only
,5861595,,,B,2019-12-02 19:22:15+00:00,right_only
,5861731,,,B,2019-12-25 14:52:44+00:00,right_only
,5861786,,,B,2019-12-07 11:50:56+00:00,right_only
,5862323,,,B,2019-12-10 10:35:33+00:00,right_only
,5862688,,,B,2019-12-12 02:59:38+00:00,right_only
,5862719,,,B,2019-12-20 11:11:19+00:00,right_only
,5862720,,,B,2019-12-20 11:11:30+00:00,right_only
,5863291,,,B,2019-12-18 18:06:25+00:00,right_only
,5864467,,,B,2019-12-18 15:02:36+00:00,right_only
,5864480,,,B,2019-12-12 08:21:52+00:00,right_only
,5864586,,,B,2019-12-03 20:35:56+00:00,right_only
,5866393,,,B,2019-12-23 22:54:13+00:00,right_only
,5867041,,,B,2019-12-10 18:22:48+00:00,right_only
,5867112,,,B,2019-12-03 17:35:49+00:00,right_only
,5867964,,,B,2019-12-14 09:41:48+00:00,right_only
,5868294,,,B,2019-12-24 10:38:17+00:00,right_only
,5868476,,,B,2019-12-01 18:20:55+00:00,right_only
,5869135,,,B,2019-12-24 13:30:11+00:00,right_only
,5869148,,,B,2019-12-11 10:48:57+00:00,right_only
,5870422,,,B,2019-12-03 04:38:23+00:00,right_only
,5873169,,,B,2019-12-17 20:13:36+00:00,right_only
,5875273,,,B,2019-12-04 06:49:49+00:00,right_only
,5875274,,,B,2019-12-16 03:41:01+00:00,right_only
,5875814,,,B,2019-12-13 18:39:42+00:00,right_only
,5875996,,,B,2019-12-27 20:48:46+00:00,right_only
,5876015,,,B,2019-12-03 20:16:57+00:00,right_only
,5876017,,,B,2019-12-03 20:16:52+00:00,right_only
,5876186,,,B,2019-12-22 19:57:09+00:00,right_only
,5876927,,,B,2019-12-21 09:30:55+00:00,right_only
,5876948,,,B,2019-12-21 07:38:28+00:00,right_only
,5876950,,,B,2019-12-21 07:38:25+00:00,right_only
,5881344,,,B,2019-12-18 23:10:30+00:00,right_only
,5881428,,,B,2019-12-17 07:39:53+00:00,right_only
,5881430,,,B,2019-12-17 07:40:11+00:00,right_only
,5881432,,,B,2019-12-17 07:39:58+00:00,right_only
,5881433,,,B,2019-12-17 07:39:35+00:00,right_only
,5882788,,,B,2019-12-15 13:49:22+00:00,right_only
,5883099,,,B,2019-12-10 07:55:58+00:00,right_only
,5883311,,,B,2019-12-20 14:52:37+00:00,right_only
,5883983,,,B,2019-12-29 16:05:48+00:00,right_only
,5884619,,,B,2019-12-21 07:38:21+00:00,right_only
,5885140,,,B,2019-12-19 15:27:32+00:00,right_only
,5885417,,,B,2019-12-04 06:23:55+00:00,right_only
,5885419,,,B,2019-12-21 07:53:08+00:00,right_only
,5885421,,,B,2019-12-04 06:24:18+00:00,right_only
,5885822,,,B,2019-12-05 13:56:41+00:00,right_only
,5885863,,,B,2019-12-05 18:28:40+00:00,right_only
,5887686,,,B,2019-12-12 06:49:27+00:00,right_only
,5888061,,,B,2019-12-13 14:48:49+00:00,right_only
,5888071,,,B,2019-12-25 04:20:14+00:00,right_only
,5888085,,,B,2019-12-02 07:07:05+00:00,right_only
,5888101,,,B,2019-12-10 17:08:05+00:00,right_only
,5888119,,,B,2019-12-09 12:18:33+00:00,right_only
,5888122,,,B,2019-12-12 02:58:44+00:00,right_only
,5891512,,,B,2019-12-05 17:15:53+00:00,right_only
,5892743,,,B,2019-12-10 15:01:00+00:00,right_only
,5892746,,,B,2019-12-10 15:01:08+00:00,right_only
,5893870,,,B,2019-12-20 14:52:44+00:00,right_only
,5894232,,,B,2019-12-09 21:57:58+00:00,right_only
,5896180,,,B,2019-12-13 12:25:58+00:00,right_only
,5896185,,,B,2019-12-25 09:40:42+00:00,right_only
,5896315,,,B,2019-12-20 16:50:32+00:00,right_only
,5896413,,,B,2019-12-09 10:21:43+00:00,right_only
,5896437,,,B,2019-12-23 21:51:43+00:00,right_only
,5898234,,,B,2019-12-07 13:18:43+00:00,right_only
,5898235,,,B,2019-12-07 13:18:38+00:00,right_only
,5899245,,,B,2019-12-24 09:09:53+00:00,right_only
,5903722,,,B,2019-12-07 15:43:49+00:00,right_only
,5903728,,,B,2019-12-07 15:43:59+00:00,right_only
,5903736,,,B,2019-12-07 15:44:09+00:00,right_only
,5903738,,,B,2019-12-07 15:44:13+00:00,right_only
,5903790,,,B,2019-12-07 15:44:45+00:00,right_only
,5903953,,,B,2019-12-07 15:46:10+00:00,right_only
,5904291,,,B,2019-12-07 15:47:55+00:00,right_only
,5904322,,,B,2019-12-07 15:48:14+00:00,right_only
,5904358,,,B,2019-12-07 15:48:46+00:00,right_only
,5904488,,,B,2019-12-07 15:48:58+00:00,right_only
,5906172,,,B,2019-12-09 06:50:29+00:00,right_only
,5906726,,,B,2019-12-22 14:57:19+00:00,right_only
,5908698,,,B,2019-12-07 15:43:38+00:00,right_only
,5908704,,,B,2019-12-07 15:43:26+00:00,right_only
,5908742,,,B,2019-12-25 17:07:46+00:00,right_only
,5909230,,,B,2019-12-12 11:56:40+00:00,right_only
,5911001,,,B,2019-12-09 06:49:43+00:00,right_only
,5911265,,,B,2019-12-07 11:08:50+00:00,right_only
,5911805,,,B,2019-12-14 09:41:06+00:00,right_only
,5911823,,,B,2019-12-14 09:40:58+00:00,right_only
,5911839,,,B,2019-12-14 09:40:50+00:00,right_only
,5914690,,,B,2019-12-21 07:52:40+00:00,right_only
,5915187,,,B,2019-12-25 05:55:11+00:00,right_only
